Column1,sentence,new_word,Tokenizer,Label,correct
23,فليه بقى ميكونش الكلام بالراحة وهدوء من الأول علشان نعرف نتكلم ونوصل لنقطة اتفاق,فليه,"['فلي', '##ه']",1,"{'فليه': ['ليه', 'فله', 'فلي', 'فيه', 'وليه', 'دليه', 'اليه', 'خليه', 'فليت', 'يليه', 'رليه', 'عليه', 'غليه', 'فايه', 'مليه', 'فليك', 'قليه', 'فلين', 'فلير']}"
24,اكفى القدرة على فومها تطلع البت لأمها,فومها,"['فو', '##مها']",1,{'فومها': ['فولها']}
25,معرفش أن في شيشة برتقان أنا بشرب نعناع وقرفة وبحس اني بعمل حاجة صحية ضميري راضي عنها,برتقان,"['برت', '##قان']",1,{}
26,ومتقوليش متفرقش عشان تفرق طبعا,ومتقوليش,"['ومتق', '##وليش']",1,{'ومتقوليش': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
27,دلوقتى ال جنيه يدوب يوصلوك لمرج,يوصلوك,"['يوصل', '##وك']",1,"{'يوصلوك': ['يوصلك', 'يوصلو', 'يوصلوا']}"
28,ايه ده هو بيه اتمسك في قضية فساد ورشوة في المؤسة,المؤسة,"['الموس', '##ة']",1,"{'المؤسة': ['المة', 'المس', 'المؤ', 'المسي', 'المدرسة', 'المست', 'المؤا', 'المسك', 'المسو', 'المسئ', 'المرس', 'المسر', 'المية', 'المغس', 'البؤس', 'المسج', 'الموس', 'المسن', 'المرة', 'المسا', 'المسم', 'المؤه', 'الميس', 'المسل', 'المسط', 'الماس', 'المغسلة', 'المدة', 'المؤاخ', 'المنصة', 'الانسة', 'المنبة', 'المهمة', 'المرسح', 'الميسو', 'البؤسا', 'المؤهل', 'المغسل', 'الماست', 'المضخة', 'الميزة', 'المحطة', 'المعدة', 'المرسي', 'المكنة', 'المتعة', 'المطرة', 'الموسي', 'الموضة', 'الماسك', 'المياة', 'المشاة', 'المجلة', 'الموسم', 'الجلسة']}"
29,لا معرفش عنها الصراحة بس انا كأسكندراني معنديش مترو,كأسكندراني,"['كاسك', '##ندر', '##اني']",1,{'كأسكندراني': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
30,انك مبقتش قادر تكمل في علاقه ولو مفيش سب ده اهم سب تنهي العلاقه احتراما ليك ولشخص التاني ومتقوليش مبرات مش موجوده تقول مش قادر اكمل بس,مبرات,"['مبر', '##ات']",1,"{'مبرات': ['مرات', 'برات', 'خبرات', 'ميرات']}"
31,لو بصيت ع قدى مهيكفنيش بلدك,قدى,"['قد', '##ى']",1,"{'قدى': ['دى', 'قى', 'قد', 'قدا', 'قدي', 'قدة', 'عدى', 'قتى', 'قدو', 'قدش', 'قصى', 'لدى', 'قدت', 'قدر', 'غدى', 'قوى', 'مدى', 'ندى', 'يدى', 'تدى', 'قدم', 'هدى']}"
32,لو بصيت ع قدى مهيكفنيش بلدك,مهيكفنيش,"['مهي', '##كف', '##نيش']",1,{'مهيكفنيش': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
33,مفيش اصعب من موت الاب ضهرك انكسر و ملاكش حد تسند عليه و الام يبقي ملكش حد ف الدنيا بعدها,ملاكش,"['ملاك', '##ش']",1,"{'ملاكش': ['ملاك', 'معاكش']}"
34,متاخدوش بكلام حد واله العظيم الوقوف جمب حد وانك تهتم بيه وتحبه كل دا مش بالكلام نهاءى لو بالكلام مع اول موقف هتستناه يقف جمبك هتخزوق,نهاءى,"['نها', '##ء', '##ى']",1,{'نهاءى': ['نهاء']}
35,سواد المواطن قفالمواطن,قفالمواطن,"['قفا', '##لموا', '##طن']",1,{'قفالمواطن': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
36,مبخدش كلام الناس ع صدرى عشان كلام الناس زى فسا الكلاب مالوش لازمة,مبخدش,"['مب', '##خدش']",1,"{'مبخدش': ['خدش', 'مخد', 'مخدتش', 'بخد', 'مبش', 'مبد', 'مدش', 'مبخ', 'مأخدتش', 'مبخت', 'مبدئ', 'محدش', 'مخدت', 'مباش', 'مأخد', 'مباد', 'مبتد', 'ماخدتش', 'تخدش', 'مخده', 'بخدم', 'ماخد', 'اخدش', 'مبحبش', 'مأخدت', 'مبتدئ', 'تاخدش', 'مبادل', 'مبادر', 'ماحدش', 'يتخدش', 'ماخدت']}"
37,يلا البسو بقى انتو الى زنيتو علينا,البسو,"['البس', '##و']",1,"{'البسو': ['البسبو', 'البو', 'البس', 'لبسو', 'السو', 'البوس', 'البطو', 'البلو', 'البنو', 'البسب', 'يلبسو', 'البسه', 'الاسو', 'المسو', 'الرسو', 'التسو']}"
38,خلاص يختى مجرباه مش عايزه,يختى,"['يخت', '##ى']",1,"{'يختى': ['يخت', 'يختا', 'يختل']}"
39,ماتقولولى اختارتو انهى وحدة ليه,اختارتو,"['اختارت', '##و']",1,"{'اختارتو': ['اختار', 'ختارو', 'يختارو', 'اختارل', 'تختارو', 'اختارلي']}"
40,ماتجبرش حد يعمل حاجه هو مش عاوزها,ماتجبرش,"['ماتج', '##برش']",2,"{'ماتجبرش': ['ماجبتش', 'ماتجيش', 'ماتقدرش', 'ماتخبطش']}"
41,فيه ناس كده تخلى الواحد يخرج عن شعوره ويقول كلام مالوش لازمة ويشيل ذنوب بالكوم ربنا يسامحهم ويسامحنا,بالكوم,"['بالك', '##وم']",2,"{'بالكوم': ['الكوم', 'بالكو', 'بالتوم', 'بالكون', 'باليوم', 'بالكام']}"
42,يا جماعة الشغل مع الستات دة أسوأ تاني حاجة في الدنيا بعد الكوسة بالبشاميل,الكوسة,"['الكو', '##سة']",2,"{'الكوسة': ['الكويسة', 'الكورة']}"
43,الستات نكاديه ياشيخه ويزهقوا الواحد,نكاديه,"['نك', '##اديه']",2,{'نكاديه': ['ناديه']}
44,ياخى اتنيل اتخرج الاول وبعدين شوف هتنيل ايه,هتنيل,"['هتن', '##يل']",2,"{'هتنيل': ['هتل', 'تني', 'هوتيل', 'هني', 'تيل', 'هيل', 'تنل', 'نيل', 'انيل', 'لتني', 'هتغي', 'ستني', 'تنية', 'اتني', 'ستيل', 'تنقل', 'لتنل', 'تنيه', 'تنيت', 'تنزل', 'هنيه', 'دتني', 'تايل', 'طتني', 'وتني', 'ينيل', 'وتيل', 'بتني', 'تخيل', 'هاني', 'همني', 'هتطل', 'يتني', 'رتني', 'تحيل', 'هايل', 'تنيش', 'هتكل', 'أتني', 'تشيل', 'هتمي', 'هنية', 'تنشل', 'متني', 'تديل', 'إتني', 'هوني', 'تنين', 'هتخل', 'تقيل', 'كتيل', 'هتخلي', 'ستايل', 'فانيل', 'اتنين', 'أتنقل', 'متنيش', 'هونول', 'هتغير', 'ستنين', 'إتنين', 'أتنشل', 'ستنيت', 'اتنقل', 'أتنين', 'بتديل', 'هتمين', 'هاجيل', 'ستحيل', 'هانحل', 'شانيل', 'لتقيل', 'ستنيه', 'فينيل', 'لتنين', 'اتنشل', 'لتنية', 'حتنزل']}"
45,أنتا بقيت فعالم وانا دلوقتي فعالم تاني أحنا الي خلقنا المسفات الكبيره دي بس عارف في عالم تالت فخيالي بيجمعني بيك كل ما بحس اني محتجلك,المسفات,"['المس', '##فات']",2,{'المسفات': ['المفات']}
46,ايه يبه صار كخه الحين اله يالدنيا,كخه,"['كخ', '##ه']",2,"{'كخه': ['كه', 'خه', 'كاه', 'كده', 'وخه', 'كله', 'كنه', 'كره', 'كيه', 'كبه', 'يخه', 'كوه']}"
47,تحت الترابيزة,الترابيزة,"['الترابي', '##زة']",2,{}
48,يا وعدي ع الأيام بتعدي بينا أوام و تدي ما بتديش ندبل وهيه تعيش,ندبل,"['ند', '##بل']",2,"{'ندبل': ['نبل', 'دبل', 'نقبل', 'نبدل', 'ندخل', 'نوبل', 'نديل']}"
49,هو انا الي حفرت ترعة و سميتها قناة السويس الجديدة و بعدها ارباح القناة قلت,ترعة,"['تر', '##عة']",2,"{'ترعة': ['ترة', 'تعة', 'رعة', 'ترع', 'ارعة', 'تاعة', 'تسعة', 'زرعة', 'سرعة', 'ترية', 'جرعة', 'ترعش']}"
50,اتلم المتعوس على خايب الرجى,المتعوس,"['المتع', '##وس']",2,"{'المتعوس': ['المتع', 'التعو', 'الموس', 'التوس', 'المتعة', 'المترو', 'المتعد', 'التعوي', 'المتروب', 'المتعدة']}"
51,اخشع ياد,اخشع,"['اخش', '##ع']",2,"{'اخشع': ['اشع', 'الشع', 'اخلع']}"
52,أجبر بخاطرى يا زمن و إدينى لمسة حنان و إفردلى ضهرى الى إتقطم رجعنى زى زمان,إتقطم,"['اتق', '##طم']",2,"{'إتقطم': ['إتق', 'قطم', 'تقوم', 'تقسم', 'تقدم', 'إتقا', 'إقام', 'اتقوم', 'حتقوم', 'وتقدم', 'إتقاب', 'إتعلم', 'بتقدم', 'إتكلم', 'اتقدم', 'يتقسم', 'يتقدم']}"
53,الأسانسير ده طاهر وهيفضل طول عمره طاهر,الأسانسير,"['الاسان', '##سير']",2,{'الأسانسير': ['الاسانسير']}
54,معرفش أن في شيشة برتقان أنا بشرب نعناع وقرفة وبحس اني بعمل حاجة صحية ضميري راضي عنها,وقرفة,"['وقرف', '##ة']",2,{'وقرفة': ['وقفة']}
55,أسوي من الحبه أوبه,أوبه,"['اوب', '##ه']",2,"{'أوبه': ['أوب', 'أوه', 'أبه', 'أوده', 'أوبر', 'أوبا', 'أوضه']}"
56,خليك بطبيعتك بلاش تزيف و تزين كداب مالوش لازمه أنت بني آدم و الطبيعي ليك أوقات حلوه و أوقات زي الزفت وأنت مش زياده ولا أقل من حد في حاجه,تزيف,"['تزي', '##ف']",2,"{'تزيف': ['تيف', 'تزي', 'تليف', 'تكيف', 'تزيد', 'تزين']}"
57,حس انه دش ساقع في عز البرد,ساقع,"['ساق', '##ع']",2,{}
58,الناس في عز البرد يجروا يستخبوا و انا كنت باخد نفسي اوام و اطلع ع الكافيتيريا,الكافيتيريا,"['الكافي', '##تير', '##يا']",2,"{'الكافيتيريا': ['كافيتيريا', 'الكافيريا']}"
59,اول لما اقول مبحبش الزبيب لماما تقوم تفضل تبعتلي فوائد الزبيب على و الاقي كله زبيب و بصل عشان مبحبهمش,الزبيب,"['الزب', '##يب']",2,"{'الزبيب': ['البايب', 'اليب', 'الزي', 'البيسب', 'الزب', 'البي', 'البيئ', 'الزاي', 'الشيب', 'النبي', 'الوبي', 'الباب', 'المبي', 'الزبد', 'البسب', 'الأبي', 'العيب', 'البيت', 'البيك', 'البيس', 'الطبي', 'الربي', 'البيا', 'الجيب', 'البيع', 'الابي', 'الهيب', 'الزيا', 'الكبي', 'البيض', 'النبيت', 'الشباب', 'النبيذ', 'الطبيخ', 'الطبية', 'الزايد', 'المبيض', 'الكبير', 'الابيض', 'الأبيض', 'الضريب', 'القريب', 'الزبدة', 'المبيع', 'الطبيع', 'الهايب', 'الربيع', 'النبيد', 'الكتيب']}"
60,يلا البسو بقى انتو الى زنيتو علينا,زنيتو,"['زن', '##يتو']",2,{'زنيتو': ['زيتو']}
61,قاعدة بدور على عذر واحد كان يصبرنى على بروده معايا وكذبه وملقتش غير انى كنت متغفلة تغفيلة عمرى كله لما فكرت فيه,متغفلة,"['متغ', '##فلة']",2,"{'متغفلة': ['مغسلة', 'متبلة', 'متسجلة', 'متوفرة', 'متغطية', 'منغزلة']}"
62,قاعدة بدور على عذر واحد كان يصبرنى على بروده معايا وكذبه وملقتش غير انى كنت متغفلة تغفيلة عمرى كله لما فكرت فيه,تغفيلة,"['تغ', '##فيلة']",2,"{'تغفيلة': ['تغطية', 'تقيلة', 'تشكيلة']}"
63,ميصحش كده في شيوع في الاتهام,شيوع,"['شي', '##وع']",2,"{'شيوع': ['شيو', 'شروع', 'شيوس', 'شيون']}"
64,نام و بلاش غلاسة دى مواضيع صعبة و حساسة و أنت ملكش عازة آخرك دمعة و جنازة,غلاسة,"['غلا', '##سة']",2,"{'غلاسة': ['غلا', 'لانسة', 'لاة', 'لاسرة', 'لسة', 'اسة', 'لاس', 'لاسا', 'حاسة', 'لاسك', 'لاجة', 'غلاف', 'قاسة', 'غلية', 'الاس', 'لاسو', 'بلاس', 'لاسم', 'جلاس', 'لاسف', 'لاية', 'غاية', 'الاسرة', 'طاسة', 'صلاة', 'لاشة', 'لاسئ', 'ساسة', 'لاسر', 'غالة', 'كلاس', 'غادة', 'لاسع', 'لامة', 'لاعة', 'لاتة', 'لاست', 'غلام', 'الانسة', 'لاسب', 'جلسة', 'ياسة', 'راسة', 'غلطة', 'لاقة', 'لاسي', 'غسلة', 'لانة', 'غلان', 'غرامة', 'فلاشة', 'ولاعة', 'بلاعة', 'لغاية', 'حساسة', 'علامة', 'الامة', 'مقاسة', 'غسالة', 'الاسر', 'الاست', 'الاسع', 'الاسو', 'الاسك', 'علاقة', 'حلاقة', 'غالية', 'سياسة', 'سلاية', 'الاسا', 'بلاست', 'تلاجة', 'كلاسي', 'دراسة', 'الاسئ', 'غلانه', 'سلامة', 'الاسب', 'الاسم', 'تلاتة', 'تلانة']}"
